#name	description	is_reversible	data_source	is_spontaneous
ALAR	alanine_racemase	1		0
ALATA_L	L-alanine_transaminase	1		0
ASNN	L-asparaginase	0		0
ASNS1	asparagine_synthase_(glutamine-hydrolysing)	0		0
ASNS2	asparagine_synthetase	0		0
ASPT	L-aspartase	0		0
ASPTA	aspartate_transaminase	1		0
DAAD	D-Amino_acid_dehydrogenase	0		0
VPAMT	Valine-pyruvate_aminotransferase	0		0
2METS	2-methylcitrate_synthase	1		0
ACHMSC	ACHMSC	1		0
ACNML	N-Acetylneuraminate_lyase	0		0
ADNUC	adenosine_hydrolase	0		0
AGDC	N-acetylglucosamine-6-phosphate_deacetylase	0		0
ALCD19	alcohol_dehydrogenase_(glycerol)	1		0
ALDD19x	aldehyde_dehydrogenase_(phenylacetaldehyde,_NAD)	0		0
ALDD2x	aldehyde_dehydrogenase_(acetaldehyde,_NAD)	0		0
AMALT1	Amylomaltase_(maltotriose)	0		0
AMALT2	Amylomaltase_(maltotetraose)	0		0
AMALT3	Amylomaltase_(maltopentaose)	0		0
AMALT4	Amylomaltase_(maltohexaose)	0		0
AMANAPEr	N-acetylmannosamine_6-phosphate_epimerase	1		0
APG	APG	1		0
ARAI	L-arabinose_isomerase	1		0
BETALDHx	betaine-aldehyde_dehydrogenase	0		0
BETALDHy	betaine-aldehyde_dehydrogenase	0		0
CBMKr	Carbamate_kinase	1		0
DHACOAH	2,3-dehydroadipyl-CoA_hydratase	1		0
DHAPT	Dihydroxyacetone_phosphotransferase	0		0
DHPTDNRN	dihydropteridine_reductase_(NADH)	0		0
DRPA	deoxyribose-phosphate_aldolase	0		0
FFSD	beta-fructofuranosidase	0		0
FRUK	fructose-1-phosphate_kinase	0		0
G3PD2	glycerol-3-phosphate_dehydrogenase_(NADP)	1		0
G3PT	glycerol-3-phosphatase	0		0
G6PDA	glucosamine-6-phosphate_deaminase	0		0
GLCATr	D-glucose_O-acetyltransferase	1		0
GLCRD	glucarate_dehydratase	0		0
GLYCDx	(S,S)-2,3-butanediol_dehydrogenase	0		0
GLYK	glycerol_kinase	0		0
GNK	gluconokinase	0		0
GUI1	glucuronate_isomerase_(D-glucuronate)	1		0
HCO3E	HCO3_equilibration_reaction	1		0
HEX7	hexokinase_(D-fructose:ATP)	0		0
HPYRI	hydroxypyruvate_isomerase	1		0
HSST_2	HSST_2	0		0
HXCT	Acetyl-CoA:hexanoate-CoA_transferase	0		0
MALGT	maltose_alpha-D-glucosyltransferase	1		0
MALTATr	maltose_O-acetyltransferase	1		0
MAN1PG	mannose-1-phosphate_guanylyltransferase	1		0
MAN6PI	mannose-6-phosphate_isomerase	1		0
MCITL2	methylisocitrate_lyase	1		0
MM_COA_ADD5	Propanoyl-CoA:carbon-dioxide_ligase_(ADP-forming)	1		0
MMM2	Methylmalonyl-CoA_mutase	0		0
MSDH	methylmalonate-semialdehyde_dehydrogenase	0		0
PFK_2	Phosphofructokinase	0		0
PGLYCP	Phosphoglycolate_phosphatase	0		0
PGMT	phosphoglucomutase	1		0
PMANM	phosphomannomutase	1		0
PPASUCC	PPASUCC	0		0
RBK	ribokinase	0		0
SUCptsp	PTS_system,_sucrose-specific_IIA_component	0		0
TRE6p	trehalose-6-phosphate_hydrolase	0		0
TRE6PP	trehalose-phosphatase	0		0
TRE6PS	alpha,alpha-trehalose-phosphate_synthase_(UDP-forming)	0		0
UACGAMPpp	UDP-N-acetyl-D-glucosamine_pyrophosphohydrolase	0		0
UDPARA	UDPARA	0		0
UDPG4E	UDPglucose_4-epimerase	1		0
UDPGALPpp	UDPgalactose_pyrophosphohydrolase	0		0
UDPGPpp	UDPglucose_pyrophosphohydrolase	0		0
UGLCURPpp	UDP-D-glucuronate_pyrophosphohydrolase	0		0
XYLI1	xylose_isomerase	1		0
XYLI2	xylose_isomerase	0		0
XYLK	xylulokinase	0		0
GALKr	galactokinase	0		0
M1PD	mannitol-1-phosphate_5-dehydrogenase	0		0
MAN2D	mannitol_2-dehydrogenase	0		0
MCITD	2-methylcitrate_dehydratase	1		0
HDPA1	dihydroxyacetone_phosphate_phosphatase	0		0
HDPA2	dihydroxyacetone_phosphate_phosphatase2	0		0
ICL	Isocitrate_lyase	0		0
MALS	malate_synthase	0		0
ME1	malic_enzyme_(NAD)	0		0
ME2	malic_enzyme_(NADP)	0		0
PPA	inorganic_diphosphatase	0		0
PPA2	inorganic_triphosphatase	0		0
PPC	phosphoenolpyruvate_carboxylase	0		0
PPCK	phosphoenolpyruvate_carboxykinase	0		0
ABTA	4-aminobutyrate_transaminase	0		0
ACGK	acetylglutamate_kinase	0		0
ACGS	N-acetylglutamate_synthase	0		0
ACODA	acetylornithine_deacetylase	0		0
ACOTA	acetylornithine_transaminase	1		0
AGPR	N-acetyl-g-glutamyl-phosphate_reductase	1		0
AMPTASEPG	aminopeptidase_(pro-gly)	0		0
ARGSL	argininosuccinate_lyase	1		0
CBPS	carbamoyl-phosphate_synthase_(glutamine-hydrolysing)	0		0
CSND	Creatinine_deaminase	0		0
G5SADs	L-glutamate_5-semialdehyde_dehydratase_(spontaneous)	0		0
G5SD	glutamate-5-semialdehyde_dehydrogenase	0		0
GLU5K	glutamate_5-kinase	0		0
GLUNATF	glutamate_N-acetyltransferase	1		0
OCBT	ornithine_carbamoyltransferase	1		0
ORNC	ornithine_cyclase	0		0
P5CD	1-pyrroline-5-carboxylate_dehydrogenase	0		0
P5CR	pyrroline-5-carboxylate_reductase	0		0
