Metabolite ID,Name,Formula,Charge
10fthf_c,10-Formyltetrahydrofolate,C20H21N7O7,-2
13dpg_c,3-Phospho-D-glyceroyl phosphate,C3H4O10P2,-4
14dhncoa_c,14dhncoa,C32H38N7O19P3S,0
1ag3p_SC_c,1ag3p-SC,C1920H3622O700P100,-200
1ddecg3p_c,1-dodecanoyl-sn-glycerol 3-phosphate,C15H29O7P1,-2
1hdec9eg3p_c,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H35O7P1,-2
1hdecg3p_c,1-hexadecanoyl-sn-glycerol 3-phosphate,C19H37O7P1,-2
1odec11eg3p_c,1-octadec-11-enoyl-sn-glycerol 3-phosphate,C21H39O7P1,-2
1odecg3p_c,1-octadecanoyl-sn-glycerol 3-phosphate,C21H41O7P1,-2
1pyr5c_c,1-Pyrroline-5-carboxylate,C5H6NO2,-1
1tdec7eg3p_c,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,C17H31O7P1,-2
1tdecg3p_c,1-tetradecanoyl-sn-glycerol 3-phosphate,C17H33O7P1,-2
23dhacoa_c,23dhacoa,C27H37N7O19P3S,-5
23dhdp_c,"2,3-Dihydrodipicolinate",C7H5NO4,-2
23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,-1
23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4,-1
25aics_c,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H15N4O12P,-4
25drapp_c,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",C9H14N5O8P,-2
26dap_LL_c,"LL-2,6-Diaminoheptanedioate",C7H14N2O4,0
26dap__M_c,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,0
26dap__M_e,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,0
2ahbut_c,(S)-2-Aceto-2-hydroxybutanoate,C6H9O4,-1
2cpr5p_c,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C12H13NO9P,-3
2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H10O10P,-3
2dhp_c,2-Dehydropantoate,C6H9O4,-1
2dmmq8_c,2-Demethylmenaquinone 8,C50H70O2,0
2dmmql8_c,2-Demethylmenaquinol 8,C50H72O2,0
2dr5p_c,2-Deoxy-D-ribose 5-phosphate,C5H9O7P,-2
2fe2s_c,2fe2s,Fe2S2,0
2h3oppan_c,2-Hydroxy-3-oxopropanoate,C3H3O4,-1
2ins_c,2-Inosose,C6H10O6,0
2ippm_c,2-Isopropylmaleate,C7H8O4,-2
2mahmp_c,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C6H8N3O7P2,-3
2mcacn_c,cis-2-Methylaconitate,C7H5O6,-3
2mcit_c,2-Methylcitrate,C7H7O7,-3
2me4p_c,2-C-methyl-D-erythritol 4-phosphate,C5H11O7P,-2
2mecdp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C5H10O9P2,-2
2mop_c,2-Methyl-3-oxopropanoate,C4H5O3,-1
2obut_c,2-Oxobutanoate,C4H5O3,-1
2ombzl_c,2ombzl,C47H72O3,0
2ommbl_c,2ommbl,C48H74O3,0
2p4c2me_c,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H22N3O17P3,-4
2pg_c,D-Glycerate 2-phosphate,C3H4O7P,-3
2pglyc_c,2-Phosphoglycolate,C2H2O6P,-3
2saa_c,2-sulfoacetaldehyde,C2H3O4S,-1
2sephchc_c,2sephchc,C14H13O9,0
34hpp_c,3-(4-Hydroxyphenyl)pyruvate,C9H7O4,-1
3amp_c,3'-AMP,C10H12N5O7P,-2
3amp_e,3'-AMP,C10H12N5O7P,-2
3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate,C7H10O5,-2
3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate,C7H10O5,-2
3c4mop_c,3-Carboxy-4-methyl-2-oxopentanoate,C7H8O5,-2
3cmp_c,3'-cmp,C9H12N3O8P,-2
3cmp_e,3'-cmp,C9H12N3O8P,-2
3dhq_c,3-Dehydroquinate,C7H9O6,-1
3dhsk_c,3-Dehydroshikimate,C7H7O5,-1
3gmp_c,3'-GMP,C10H12N5O8P,-2
3gmp_e,3'-GMP,C10H12N5O8P,-2
3haACP_c,(3R)-3-Hydroxyacyl-[acyl-carrier protein],C15H27N2O9PRS,-1
3hadpcoa_c,3hadpcoa,C27H39N7O20P3S,-5
3hcddec5eACP_c,(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein],C23H41N2O9PRS,-1
3hcmrs7eACP_c,(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein],C25H45N2O9PRS,-1
3hcpalm9eACP_c,(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein],C27H49N2O9PRS,-1
3hcvac11eACP_c,(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein],C29H53N2O9PRS,-1
3hddecACP_c,(R)-3-Hydroxydodecanoyl-[acyl-carrier protein],C23H43N2O9PRS,-1
3hdecACP_c,(R)-3-Hydroxydecanoyl-[acyl-carrier protein],C21H39N2O9PRS,-1
3hhexACP_c,(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C17H31N2O9PRS,-1
3hmrsACP_c,(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C25H47N2O9PRS,-1
3hoctaACP_c,(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],C29H55N2O9PRS,-1
3hoctACP_c,(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C19H35N2O9PRS,-1
3hpalmACP_c,R-3-hydroxypalmitoyl-[acyl-carrier protein],C27H51N2O9PRS,-1
3ig3p_c,C'-(3-Indolyl)-glycerol 3-phosphate,C11H12NO6P,-2
