Reaction ID,Name,Equation,Lower Bound,Upper Bound
ALAR,alanine racemase,ala__L_c <=> ala__D_c,-1000.0,1000.0
ALATA_L,L-alanine transaminase,glu__L_c + pyr_c <=> akg_c + ala__L_c,-1000.0,1000.0
ASNN,L-asparaginase,asn__L_c + h2o_c --> asp__L_c + nh4_c,0.0,1000.0
ASNS1,asparagine synthase (glutamine-hydrolysing),asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,0.0,1000.0
ASNS2,asparagine synthetase,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,0.0,1000.0
ASPT,L-aspartase,asp__L_c --> fum_c + nh4_c,0.0,1000.0
ASPTA,aspartate transaminase,akg_c + asp__L_c <=> glu__L_c + oaa_c,-1000.0,1000.0
DAAD,D-Amino acid dehydrogenase,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c,0.0,1000.0
VPAMT,Valine-pyruvate aminotransferase,3mob_c + ala__L_c --> pyr_c + val__L_c,0.0,1000.0
2METS,2-methylcitrate synthase,h2o_c + oaa_c + ppcoa_c <=> coa_c + hcat_c,-1000.0,1000.0
ACHMSC,ACHMSC,achms_c + cys__L_c <=> ac_c + cyst__L_c + h_c,-1000.0,1000.0
ACNML,N-Acetylneuraminate lyase,acnam_c --> acmana_c + pyr_c,0.0,1000.0
ADNUC,adenosine hydrolase,adn_c + h2o_c --> ade_c + rib__D_c,0.0,1000.0
AGDC,N-acetylglucosamine-6-phosphate deacetylase,acgam6p_c + h2o_c --> ac_c + gam6p_c,0.0,1000.0
ALCD19,alcohol dehydrogenase (glycerol),glyald_c + h_c + nadh_c <=> glyc_c + nad_c,-1000.0,1000.0
ALDD19x,"aldehyde dehydrogenase (phenylacetaldehyde, NAD)",h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c,0.0,1000.0
ALDD2x,"aldehyde dehydrogenase (acetaldehyde, NAD)",acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,0.0,1000.0
AMALT1,Amylomaltase (maltotriose),malt_c + malttr_c --> glc__D_c + maltttr_c,0.0,1000.0
AMALT2,Amylomaltase (maltotetraose),malt_c + maltttr_c --> glc__D_c + maltpt_c,0.0,1000.0
AMALT3,Amylomaltase (maltopentaose),malt_c + maltpt_c --> glc__D_c + malthx_c,0.0,1000.0
AMALT4,Amylomaltase (maltohexaose),malt_c + malthx_c --> glc__D_c + malthp_c,0.0,1000.0
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,acmanap_c <=> acgam6p_c,-1000.0,1000.0
APG,APG,cdpdag_c + glyc3p_c <=> apg_c + cmp_c,-1000.0,1000.0
ARAI,L-arabinose isomerase,arab__L_c <=> rbl__L_c,-1000.0,1000.0
BETALDHx,betaine-aldehyde dehydrogenase,betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,0.0,1000.0
BETALDHy,betaine-aldehyde dehydrogenase,betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,0.0,1000.0
CBMKr,Carbamate kinase,atp_c + co2_c + nh4_c <=> adp_c + cbp_c + 2.0 h_c,-1000.0,1000.0
DHACOAH,"2,3-dehydroadipyl-CoA hydratase",23dhacoa_c + h2o_c <=> 3hadpcoa_c,-1000.0,1000.0
DHAPT,Dihydroxyacetone phosphotransferase,dha_c + pep_c --> dhap_c + pyr_c,0.0,1000.0
DHPTDNRN,dihydropteridine reductase (NADH),dhptdn_c + 3.0 h_c + nadh_c --> nad_c + thptdn_c,0.0,0.0
DRPA,deoxyribose-phosphate aldolase,2dr5p_c --> acald_c + g3p_c,0.0,1000.0
FFSD,beta-fructofuranosidase,h2o_c + suc6p_c --> fru_c + g6p_c,0.0,1000.0
FRUK,fructose-1-phosphate kinase,atp_c + f1p_c --> adp_c + fdp_c + h_c,0.0,1000.0
G3PD2,glycerol-3-phosphate dehydrogenase (NADP),glyc3p_c + nadp_c <=> dhap_c + h_c + nadph_c,-1000.0,1000.0
G3PT,glycerol-3-phosphatase,glyc3p_c + h2o_c --> glyc_c + pi_c,0.0,1000.0
G6PDA,glucosamine-6-phosphate deaminase,gam6p_c + h2o_c --> f6p_c + nh4_c,0.0,1000.0
GLCATr,D-glucose O-acetyltransferase,accoa_c + glc__D_c <=> acglc__D_c + coa_c,-1000.0,1000.0
GLCRD,glucarate dehydratase,glcr_c --> 5dh4dglc_c + h2o_c,0.0,1000.0
GLYCDx,"(S,S)-2,3-butanediol dehydrogenase",dha_c + h_c + nadh_c --> glyc_c + nad_c,0.0,1000.0
GLYK,glycerol kinase,atp_c + glyc_c --> adp_c + glyc3p_c + h_c,0.0,1000.0
GNK,gluconokinase,atp_c + glcn_c --> 6pgc_c + adp_c + h_c,0.0,1000.0
GUI1,glucuronate isomerase (D-glucuronate),glcur_c <=> fruur_c,-1000.0,1000.0
HCO3E,HCO3 equilibration reaction,co2_c + h2o_c <=> h_c + hco3_c,-1000.0,1000.0
HEX7,hexokinase (D-fructose:ATP),atp_c + fru_c --> adp_c + f6p_c + h_c,0.0,1000.0
HPYRI,hydroxypyruvate isomerase,hpyr_c <=> 2h3oppan_c,-1000.0,1000.0
