CG_gene	ident	ECOLI_gene
cg0001	0.01	NaN
cg0002	0.01	NaN
cg0004	0.01	NaN
cg0005	0.01	NaN
cg0006	0.01	NaN
cg0007	0.01	NaN
cg0008	0.01	NaN
cg0009	0.01	NaN
cg0010	0.01	NaN
cg0012	0.01	NaN
cg0013	0.01	NaN
cg0014	0.01	NaN
cg0015	0.01	NaN
cg0016	0.01	NaN
cg0018	0.01	NaN
cg0019	0.01	NaN
cg0021	0.01	NaN
cg0025	0.01	NaN
cg0026	0.01	NaN
cg0027	0.01	NaN
cg0029	0.01	NaN
cg0031	0.01	NaN
cg0033	0.01	NaN
cg0034	0.01	NaN
cg0035	0.01	NaN
cg0037	0.01	NaN
cg0038	0.01	NaN
cg0039	0.01	NaN
cg0040	0.01	NaN
cg0041	0.01	NaN
cg0042	0.01	NaN
cg0043	0.01	NaN
cg0044	0.01	NaN
cg0045	0.01	NaN
cg0046	0.01	NaN
cg0047	0.01	NaN
cg0048	0.01	NaN
cg0049	0.01	NaN
cg0051	0.01	NaN
cg0052	0.01	NaN
cg0053	0.01	NaN
cg0054	0.01	NaN
cg0055	0.01	NaN
cg0057	0.01	NaN
cg0059	0.01	NaN
cg0060	0.01	NaN
cg0061	0.01	NaN
cg0062	0.01	NaN
cg0063	0.01	NaN
cg0064	0.01	NaN
cg0065	0.01	NaN
cg0066	0.01	NaN
cg0067	0.01	NaN
cg0070	0.01	NaN
cg0071	0.01	NaN
cg0072	0.01	NaN
cg0073	0.01	NaN
cg0074	0.01	NaN
cg0075	0.01	NaN
cg0076	0.01	NaN
cg0077	0.01	NaN
cg0078	0.01	NaN
cg0079	0.01	NaN
cg0080	0.01	NaN
cg0081	0.01	NaN
cg0082	0.01	NaN
cg0083	0.01	NaN
cg0085	0.01	NaN
cg0087	0.01	NaN
cg0088	0.01	NaN
cg0089	0.01	NaN
cg0090	0.01	NaN
cg0091	0.01	NaN
cg0092	0.01	NaN
cg0095	0.01	NaN
cg0096	0.01	NaN
cg0097	0.01	NaN
cg0103	0.01	NaN
cg0104	0.01	NaN
cg0105	0.01	NaN
cg0107	0.01	NaN
cg0108	0.01	NaN
cg0109	0.01	NaN
cg0110	0.01	NaN
cg0111	0.01	NaN
cg0112	0.01	NaN
cg0113	0.01	NaN
cg0114	0.01	NaN
cg0115	0.01	NaN
cg0116	0.01	NaN
cg0117	0.01	NaN
cg0118	0.01	NaN
cg0119	0.01	NaN
cg0120	0.01	NaN
cg0121	0.01	NaN
cg0122	0.01	NaN
cg0123	0.01	NaN
cg0124	0.01	NaN
cg0126	0.01	NaN
cg0127	0.01	NaN
cg0128	0.01	NaN
cg0129	0.01	NaN
cg0131	0.01	NaN
cg0133	0.01	NaN
cg0134	0.01	NaN
cg0135	0.01	NaN
cg0136	0.01	NaN
cg0138	0.01	NaN
cg0139	0.01	NaN
cg0141	0.01	NaN
cg0142	0.01	NaN
cg0143	0.01	NaN
cg0144	0.01	NaN
cg0146	0.01	NaN
cg0147	0.01	NaN
cg0148	0.01	NaN
cg0149	0.01	NaN
cg0150	0.01	NaN
cg0151	0.01	NaN
cg0152	0.01	NaN
cg0153	0.01	NaN
cg0154	0.01	NaN
cg0155	0.01	NaN
cg0156	0.01	NaN
cg0158	0.01	NaN
cg0159	0.01	NaN
cg0160	0.01	NaN
cg0161	0.01	NaN
cg0162	0.01	NaN
cg0163	0.01	NaN
cg0165	0.01	NaN
cg0166	0.01	NaN
cg0167	0.01	NaN
cg0168	0.01	NaN
cg0170	0.01	NaN
cg0171	0.01	NaN
cg0172	0.01	NaN
cg0173	0.01	NaN
cg0174	0.01	NaN
cg0175	0.01	NaN
cg0176	0.01	NaN
cg0177	0.01	NaN
cg0178	0.01	NaN
cg0179	0.01	NaN
cg0180	0.01	NaN
cg0181	0.01	NaN
cg0182	0.01	NaN
